year,state_name,district_name,registration_circles,murder,homicide,hit_and_run,acdnt_other_than_hit_and_run_,dowry_deaths,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_suicide,miscarr_infant_foetic_aband,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,vlntrly_caus_grvus_hurt,acid_attack,grvus_hrt_lf_safety,assault_on_women,sex_hrrsmt_other_places,voyeurism,stalking,other_kidnp_abduc,kidnp_abdctn_murder,kidnp_abdctn_marrg,proc_minor_girls,human_trafficking,rape,ofnc_agnst_state_other,rioting_sectarian,rioting_political,rioting_agrarian,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,extortion_and_blackmailing,robbery,dacoity,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,cheating,forgery,sale_food_drugs,rash_driving_pub_way,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crlty_husbnd_relatives,criminal_intimidation,insult_modesty_women,other_ipc_crimes
2017,Andhra Pradesh,East Godavari,Rajahmundry,14.0,0.0,25.0,135.0,1.0,15.0,30.0,19.0,1.0,344.0,10.0,0.0,11.0,0.0,0.0,59.0,14.0,2.0,15.0,6.0,0.0,3.0,1.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,10.0,11.0,3.0,0.0,2.0,2.0,1.0,1.0,56.0,6.0,0.0,36.0,1.0,0.0,23.0,48.0,163.0,23.0,31.0,12.0
2017,Andhra Pradesh,Srikakulam,Srikakulam,30.0,25.0,25.0,273.0,7.0,21.0,20.0,10.0,2.0,564.0,27.0,195.0,11.0,0.0,0.0,39.0,27.0,1.0,13.0,1.0,0.0,10.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,11.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,99.0,3.0,23.0,403.0,0.0,1.0,3.0,111.0,224.0,21.0,7.0,84.0
2017,Andhra Pradesh,Tirupati,Tirupathi Urban,38.0,3.0,42.0,210.0,7.0,7.0,29.0,5.0,2.0,278.0,14.0,2.0,0.0,0.0,0.0,47.0,15.0,3.0,14.0,11.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,245.0,25.0,9.0,5.0,0.0,6.0,0.0,0.0,0.0,246.0,30.0,2.0,1552.0,0.0,0.0,12.0,0.0,86.0,30.0,55.0,203.0
2017,Andhra Pradesh,Ntr,Vijayawada City,34.0,0.0,42.0,304.0,10.0,23.0,43.0,21.0,4.0,583.0,1.0,14.0,15.0,1.0,6.0,96.0,76.0,10.0,87.0,16.0,0.0,10.0,5.0,8.0,79.0,0.0,0.0,0.0,0.0,0.0,2.0,724.0,29.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,366.0,64.0,171.0,164.0,0.0,15.0,18.0,130.0,460.0,34.0,135.0,160.0
2017,Andhra Pradesh,Ntr,Vijayawada Railway,8.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,10.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
2017,Andhra Pradesh,Visakhapatnam,Visakha Rural,39.0,7.0,13.0,319.0,1.0,6.0,52.0,1.0,0.0,332.0,9.0,0.0,3.0,0.0,0.0,142.0,6.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,4.0,0.0,280.0,3.0,3.0,14.0,109.0,116.0,7.0,24.0,489.0
2017,Andhra Pradesh,Visakhapatnam,Visakhapatnam,40.0,14.0,28.0,305.0,7.0,16.0,69.0,16.0,0.0,407.0,46.0,111.0,25.0,0.0,337.0,198.0,24.0,7.0,80.0,88.0,0.0,1.0,0.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,586.0,4.0,45.0,4.0,0.0,2.0,23.0,3.0,20.0,519.0,41.0,0.0,265.0,2.0,0.0,9.0,272.0,449.0,19.0,76.0,467.0
2017,Andhra Pradesh,Vizianagaram,Vizianagaram,28.0,4.0,31.0,408.0,3.0,8.0,16.0,0.0,1.0,468.0,16.0,660.0,5.0,1.0,185.0,55.0,19.0,0.0,11.0,14.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,17.0,87.0,3.0,5.0,1.0,0.0,1.0,1.0,2.0,6.0,89.0,4.0,200.0,3489.0,0.0,3.0,5.0,113.0,221.0,2.0,53.0,1916.0
2017,Andhra Pradesh,West Godavari,West Godavari,54.0,13.0,70.0,586.0,7.0,47.0,86.0,21.0,2.0,1375.0,106.0,28.0,0.0,1.0,32.0,132.0,140.0,8.0,100.0,24.0,0.0,24.0,1.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,18.0,352.0,52.0,20.0,5.0,0.0,1.0,0.0,0.0,0.0,417.0,14.0,0.0,122.0,0.0,0.0,36.0,577.0,777.0,45.0,108.0,229.0
2017,Arunachal Pradesh,Anjaw,Anjaw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2017,Arunachal Pradesh,Changlang,Changlang,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
2017,Arunachal Pradesh,Papum Pare,Crime Branch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,Dibang Valley,Dibang Valley,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2017,Arunachal Pradesh,East Kameng,Kameng East,4.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,9.0
2017,Arunachal Pradesh,West Kameng,Kameng West,5.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,19.0
