year,state_name,district_name,registration_circles,murder,homicide,hit_and_run,acdnt_other_than_hit_and_run_,dowry_deaths,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_suicide,miscarr_infant_foetic_aband,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,vlntrly_caus_grvus_hurt,acid_attack,grvus_hrt_lf_safety,assault_on_women,sex_hrrsmt_other_places,voyeurism,stalking,other_kidnp_abduc,kidnp_abdctn_murder,kidnp_abdctn_marrg,proc_minor_girls,human_trafficking,rape,ofnc_agnst_state_other,rioting_sectarian,rioting_political,rioting_agrarian,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,extortion_and_blackmailing,robbery,dacoity,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,cheating,forgery,sale_food_drugs,rash_driving_pub_way,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crlty_husbnd_relatives,criminal_intimidation,insult_modesty_women,other_ipc_crimes,lat,lon
2017,Andhra Pradesh,Prakasam,Prakasham,91.0,46.0,33.0,452.0,6.0,58.0,83.0,33.0,0.0,1257.0,53.0,5.0,13.0,1.0,3.0,268.0,36.0,0.0,42.0,13.0,0.0,25.0,5.0,10.0,91.0,0.0,0.0,0.0,0.0,0.0,29.0,189.0,17.0,23.0,7.0,0.0,3.0,0.0,0.0,0.0,149.0,18.0,23.0,182.0,0.0,18.0,16.0,272.0,598.0,135.0,4.0,295.0,15.6642643,79.4733001
2017,Andhra Pradesh,East Godavari,Rajahmundry,14.0,0.0,25.0,135.0,1.0,15.0,30.0,19.0,1.0,344.0,10.0,0.0,11.0,0.0,0.0,59.0,14.0,2.0,15.0,6.0,0.0,3.0,1.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,10.0,11.0,3.0,0.0,2.0,2.0,1.0,1.0,56.0,6.0,0.0,36.0,1.0,0.0,23.0,48.0,163.0,23.0,31.0,12.0,16.9956639,81.7154378
2017,Andhra Pradesh,Srikakulam,Srikakulam,30.0,25.0,25.0,273.0,7.0,21.0,20.0,10.0,2.0,564.0,27.0,195.0,11.0,0.0,0.0,39.0,27.0,1.0,13.0,1.0,0.0,10.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,11.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,99.0,3.0,23.0,403.0,0.0,1.0,3.0,111.0,224.0,21.0,7.0,84.0,18.2949307,83.8938844
2017,Andhra Pradesh,Tirupati,Tirupathi Urban,38.0,3.0,42.0,210.0,7.0,7.0,29.0,5.0,2.0,278.0,14.0,2.0,0.0,0.0,0.0,47.0,15.0,3.0,14.0,11.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,245.0,25.0,9.0,5.0,0.0,6.0,0.0,0.0,0.0,246.0,30.0,2.0,1552.0,0.0,0.0,12.0,0.0,86.0,30.0,55.0,203.0,13.6316368,79.4231711
2017,Andhra Pradesh,Ntr,Vijayawada City,34.0,0.0,42.0,304.0,10.0,23.0,43.0,21.0,4.0,583.0,1.0,14.0,15.0,1.0,6.0,96.0,76.0,10.0,87.0,16.0,0.0,10.0,5.0,8.0,79.0,0.0,0.0,0.0,0.0,0.0,2.0,724.0,29.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,366.0,64.0,171.0,164.0,0.0,15.0,18.0,130.0,460.0,34.0,135.0,160.0,16.8169118,80.2502299
2017,Andhra Pradesh,Ntr,Vijayawada Railway,8.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,10.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,16.8169118,80.2502299
2017,Andhra Pradesh,Visakhapatnam,Visakha Rural,39.0,7.0,13.0,319.0,1.0,6.0,52.0,1.0,0.0,332.0,9.0,0.0,3.0,0.0,0.0,142.0,6.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,4.0,0.0,280.0,3.0,3.0,14.0,109.0,116.0,7.0,24.0,489.0,17.6935526,83.2921297
2017,Andhra Pradesh,Visakhapatnam,Visakhapatnam,40.0,14.0,28.0,305.0,7.0,16.0,69.0,16.0,0.0,407.0,46.0,111.0,25.0,0.0,337.0,198.0,24.0,7.0,80.0,88.0,0.0,1.0,0.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,586.0,4.0,45.0,4.0,0.0,2.0,23.0,3.0,20.0,519.0,41.0,0.0,265.0,2.0,0.0,9.0,272.0,449.0,19.0,76.0,467.0,17.6935526,83.2921297
2017,Andhra Pradesh,Vizianagaram,Vizianagaram,28.0,4.0,31.0,408.0,3.0,8.0,16.0,0.0,1.0,468.0,16.0,660.0,5.0,1.0,185.0,55.0,19.0,0.0,11.0,14.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,17.0,87.0,3.0,5.0,1.0,0.0,1.0,1.0,2.0,6.0,89.0,4.0,200.0,3489.0,0.0,3.0,5.0,113.0,221.0,2.0,53.0,1916.0,18.1141255,83.4114389
2017,Andhra Pradesh,West Godavari,West Godavari,54.0,13.0,70.0,586.0,7.0,47.0,86.0,21.0,2.0,1375.0,106.0,28.0,0.0,1.0,32.0,132.0,140.0,8.0,100.0,24.0,0.0,24.0,1.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,18.0,352.0,52.0,20.0,5.0,0.0,1.0,0.0,0.0,0.0,417.0,14.0,0.0,122.0,0.0,0.0,36.0,577.0,777.0,45.0,108.0,229.0,16.6443029,81.5885247
2017,Arunachal Pradesh,Anjaw,Anjaw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.1166895,96.8198805
2017,Arunachal Pradesh,Changlang,Changlang,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,27.2698797,96.0602442
2017,Arunachal Pradesh,Papum Pare,Crime Branch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2863666,93.6187716
2017,Arunachal Pradesh,Dibang Valley,Dibang Valley,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.8291044,95.9554096
2017,Arunachal Pradesh,East Kameng,Kameng East,4.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,9.0,27.557781,92.9673843
2017,Arunachal Pradesh,West Kameng,Kameng West,5.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,19.0,27.3386269,92.4333662
2017,Arunachal Pradesh,Kurung Kumey,Kurung Kumey,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,27.9863677,93.1578347
2017,Arunachal Pradesh,Lohit,Lohit,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,12.0,28.0350162,96.1713515
2017,Arunachal Pradesh,Longding,Longding,3.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,26.8794546,95.3155652
2017,Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley,2.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.2149563,95.878774
2017,Arunachal Pradesh,Papum Pare,Papum Pare City,11.0,0.0,1.0,13.0,0.0,2.0,4.0,0.0,0.0,7.0,0.0,0.0,28.0,0.0,0.0,31.0,2.0,0.0,0.0,23.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,5.0,0.0,0.0,2.0,4.0,30.0,0.0,4.0,107.0,27.2863666,93.6187716
2017,Arunachal Pradesh,Papum Pare,Papum Pare Rural,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,27.2863666,93.6187716
2017,Arunachal Pradesh,East Siang,Siang East,5.0,0.0,0.0,11.0,0.0,1.0,7.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,3.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,10.0,1.0,0.0,4.0,0.0,11.0,0.0,0.0,34.0,28.0742219,95.4178149
2017,Arunachal Pradesh,Upper Siang,Siang Upper,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,28.7312046,95.0377315
2017,Arunachal Pradesh,West Siang,Siang West,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,28.1970922,94.48407
2017,Arunachal Pradesh,Lower Subansiri,Subansiri Lower,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,27.5326327,93.7823245
2017,Arunachal Pradesh,Upper Subansiri,Subansiri Upper,4.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,5.0,1.0,0.0,12.0,28.2596054,94.0938106
2017,Arunachal Pradesh,Tawang,Tawang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5879186,91.863733
2017,Arunachal Pradesh,Tirap,Tirap,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.030169,95.4979175
2017,Arunachal Pradesh,Namsai,Namsai,7.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,27.7140306,96.0159709
2017,Arunachal Pradesh,Siang,Siang,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,2.0,28.477492,94.8165573
2017,Arunachal Pradesh,Kamle,Kamle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,27.7312325,94.0964663
2017,Arunachal Pradesh,Lower Siang,Lower Siang,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,27.8006982,94.5650233
2017,Assam,Kamrup Metro,Bieo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1161377,91.7973256
2017,Assam,Barpeta,Barpeta,50.0,5.0,0.0,125.0,22.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,62.0,0.0,5.0,378.0,0.0,334.0,27.0,8.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,11.0,22.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,59.0,24.0,792.0,0.0,0.0,1408.0,26.345941,91.039708
2017,Assam,Baksa,Baksa,30.0,0.0,61.0,0.0,3.0,11.0,39.0,5.0,0.0,26.0,1.0,19.0,103.0,0.0,0.0,38.0,7.0,0.0,0.0,13.0,6.0,115.0,39.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,32.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,56.0,11.0,0.0,0.0,26.0,0.0,13.0,58.0,92.0,71.0,0.0,35.0,26.6275689,91.3388551
2017,Assam,Bongaigaon,Bongaigaon,16.0,1.0,0.0,0.0,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,56.0,0.0,0.0,0.0,2.0,0.0,89.0,29.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,5.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,338.0,0.0,0.0,697.0,26.4800126,90.5580387
2017,Assam,Kamrup Metro,Cid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.1161377,91.7973256
2017,Assam,Cachar,Cachar,53.0,0.0,0.0,100.0,8.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,126.0,23.0,0.0,0.0,323.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,49.0,35.0,13.0,0.0,6.0,0.0,0.0,0.0,99.0,68.0,0.0,0.0,0.0,0.0,40.0,403.0,457.0,0.0,0.0,1450.0,24.75864,92.8816648
2017,Assam,Chirang,Chirang,13.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,6.0,9.0,0.0,59.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,14.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,35.0,5.0,0.0,66.0,35.0,0.0,5.0,0.0,74.0,32.0,0.0,0.0,26.6464231,90.624157
2017,Assam,Darrang,Darrang,34.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,212.0,0.0,0.0,224.0,51.0,6.0,6.0,0.0,0.0,103.0,111.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,239.0,42.0,0.0,0.0,0.0,0.0,15.0,0.0,552.0,0.0,0.0,933.0,26.4373482,92.0047145
2017,Assam,Dhemaji,Dhemaji,14.0,0.0,69.0,0.0,6.0,1.0,28.0,0.0,0.0,8.0,0.0,0.0,88.0,0.0,0.0,71.0,13.0,1.0,0.0,0.0,0.0,48.0,61.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,26.0,15.0,7.0,0.0,2.0,2.0,1.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,19.0,2.0,149.0,12.0,0.0,140.0,27.5945155,94.7192098
